2050	2088	2066	2086	2021	2050	2054	2043	2054	2086	2078	2020	1988	2035	2026	2070	2023	2063	2083	2068	2045	2039	2088	2066	2069	2069	2128	2022	2009	2015	2064	2101	2060	2110	2092	2089	2054	2077	2072	2086	2081	2092	2112	2056	2017	2075	2081	2070	2086	2106	2132	2077	2047	2092	2109	2119	2081	2110	2123	2052	2058	2078	2077	2127	2111	2156	2124	2105	2093	2098	2110	2138	2142	2144	2140	2090	2096	2114	2112	2166	2125	2137	2148	2129	2115	2128	2104	2132	2118	2143	2181	2128	2087	2131	2134	2176	2137	2180	2200	2164	2091	2143	2155	2151	2133	2207	2180	2161	2118	2126	2131	2166	2123	2168	2202	2146	2146	2161	2181	2166	2155	2169	2190	2130	2103	2144	2172	2199	2155	2207	2177	2145	2140	2169	2155	2195	2181	2194	2208	2146	2123	2160	2166	2194	2151	2174	2189	2153	2138	2170	2156	2164	2142	2205	2185	2155	2121	2142	2177	2190	2165	2170	2201	2165	2121	2184	2154	2146	2177	2166	2211	2171	2138	2200	2153	2206	2187	2192	2205	2158	2136	2190	2170	2203	2171	2215	2215	2161	2128	2160	2149	2182	2176	2188	2208	2170	2159	2171	2188	2201	2192	2233	2195	2175	2119	2144	2185	2192	2189	2187	2245	2186	2144	2206	2183	2210	2173	2207	2230	2152	2160	2153	2172	2199	2173	2221	2201	2161	2127	2165	2195	2203	2178	2185	2202	2157	2121	2160	2164	2190	2168	2205	2198	2170	2128	2176	2177	2185	2170	2194	2166	2155	2139	2133	2167	2185	2146	2216	2202	2122	2155	2174	2194	2166	2177	2217	2181	2144	2123	2188	2150	2177	2174	2183	2199	2146	2172	2171	2167	2172	2180	2198	2253	2116	2128	2152	2144	2194	2162	2163	2189	2155	2139	2163	2149	2157	2167	2193	2176	2127	2141	2156	2148	2153	2177	2178	2196	2133	2133	2136	2117	2162	2138	2156	2164	2119	2122	2154	2139	2139	
2085	2097	2072	2081	2036	2070	2096	2077	2076	2078	2094	2054	2011	2054	2043	2069	2083	2099	2103	2072	2048	2064	2098	2083	2065	2097	2098	2050	2053	2031	2085	2107	2083	2119	2116	2102	2051	2113	2115	2104	2226	2112	2110	2073	2044	2092	2113	2100	2108	2103	2113	2113	2071	2108	2093	2133	2110	2156	2174	2078	2076	2103	2097	2159	2125	2150	2106	2122	2081	2137	2160	2154	2142	2161	2173	2120	2087	2132	2135	2171	2161	2193	2172	2125	2126	2154	2148	2150	2145	2280	2209	2107	2102	2149	2158	2183	2169	2179	2207	2170	2160	2182	2172	2187	2165	2201	2217	2159	2119	2185	2125	2191	2138	2197	2235	2168	2163	2172	2176	2148	2172	2192	2195	2125	2150	2152	2192	2209	2184	2276	2186	2178	2170	2186	2177	2188	2187	2213	2204	2169	2165	2183	2179	2222	2173	2209	2216	2173	2178	2179	2198	2208	2185	2244	2191	2170	2143	2152	2178	2186	2188	2213	2215	2184	2153	2191	2212	2227	2180	2172	2219	2185	2168	2174	2165	2222	2196	2204	2216	2192	2189	2199	2195	2216	2202	2221	2217	2177	2128	2209	2164	2229	2203	2235	2217	2193	2164	2182	2190	2220	2182	2202	2233	2183	2151	2165	2172	2213	2197	2217	2228	2195	2162	2203	2194	2227	2182	2237	2227	2166	2145	2150	2190	2215	2206	2227	2360	2221	2164	2201	2186	2207	2204	2230	2202	2165	2131	2155	2181	2200	2192	2232	2176	2164	2167	2192	2174	2236	2183	2217	2218	2169	2150	2154	2160	2185	2156	2196	2218	2153	2191	2181	2180	2196	2169	2198	2177	2168	2123	2169	2163	2203	2175	2222	2221	2169	2165	2155	2179	2207	2212	2202	2196	2153	2122	2146	2172	2206	2195	2224	2203	2164	2148	2173	2200	2173	2155	2194	2195	2138	2115	2143	2162	2186	2174	2166	2178	2131	2143	2145	2141	2177	2159	2177	2155	2116	2127	2167	2129	2129	
2057	2082	2066	2103	2016	2058	2064	2055	2064	2083	2078	2039	2010	2054	2037	2060	2062	2077	2090	2086	2050	2039	2103	2076	2065	2080	2126	2048	2024	2034	2075	2124	2069	2107	2092	2074	2065	2089	2064	2104	2113	2109	2127	2062	2040	2097	2095	2109	2083	2111	2127	2105	2067	2099	2121	2129	2087	2117	2155	2079	2064	2096	2077	2133	2133	2143	2158	2110	2078	2118	2126	2146	2165	2178	2160	2106	2119	2135	2124	2189	2145	2163	2153	2159	2134	2141	2135	2169	2121	2166	2197	2120	2110	2144	2150	2170	2171	2190	2193	2152	2151	2152	2183	2167	2175	2197	2207	2141	2140	2146	2166	2179	2159	2195	2228	2148	2169	2146	2171	2174	2181	2184	2202	2147	2120	2251	2182	2214	2151	2215	2181	2163	2150	2181	2156	2183	2184	2201	2200	2143	2144	2154	2176	2202	2195	2199	2177	2168	2158	2192	2155	2190	2147	2211	2193	2141	2136	2141	2167	2180	2178	2189	2210	2171	2146	2209	2193	2176	2184	2191	2214	2185	2135	2183	2163	2221	2191	2207	2209	2192	2141	2201	2203	2215	2174	2219	2242	2168	2133	2152	2178	2206	2189	2204	2213	2180	2158	2185	2175	2201	2221	2203	2223	2171	2146	2157	2174	2205	2189	2207	2216	2177	2158	2203	2176	2227	2192	2215	2235	2156	2139	2161	2195	2192	2207	2224	2230	2202	2411	2186	2184	2205	2162	2216	2206	2157	2139	2152	2201	2198	2201	2219	2200	2195	2156	2180	2180	2183	2167	2193	2203	2189	2144	2126	2161	2192	2158	2207	2190	2164	2147	2189	2193	2189	2195	2200	2187	2160	2124	2171	2152	2199	2174	2179	2240	2177	2188	2185	2186	2156	2172	2198	2224	2117	2111	2161	2131	2207	2180	2180	2190	2163	2142	2170	2158	2158	2173	2205	2189	2145	2126	2129	2152	2154	2187	2180	2182	2133	2119	2148	2142	2163	2146	2177	2172	2130	2131	2156	2156	2156	
2072	2087	2062	2078	2045	2077	2078	2068	2074	2084	2101	2059	2017	2068	2044	2092	2077	2115	2097	2088	2077	2089	2113	2095	2077	2121	2131	2039	2045	2056	2096	2118	2078	2130	2101	2094	2058	2103	2085	2094	2101	2121	2148	2049	2048	2091	2119	2108	2108	2101	2143	2110	2056	2120	2092	2130	2120	2151	2168	2093	2081	2083	2094	2163	2129	2160	2121	2124	2097	2145	2132	2152	2138	2183	2165	2142	2100	2141	2129	2171	2142	2178	2164	2137	2144	2139	2149	2156	2156	2199	2205	2128	2098	2203	2144	2192	2152	2199	2195	2180	2138	2174	2187	2197	2145	2203	2232	2169	2120	2154	2146	2177	2147	2193	2221	2165	2167	2175	2181	2183	2161	2201	2216	2145	2134	2190	2191	2200	2167	2232	2208	2172	2166	2195	2159	2205	2176	2212	2215	2175	2163	2183	2165	2264	2185	2208	2186	2161	2169	2180	2184	2174	2196	2196	2178	2175	2147	2156	2191	2192	2193	2217	2210	2189	2131	2192	2198	2219	2201	2182	2240	2187	2171	2185	2149	2226	2205	2229	2216	2214	2195	2198	2207	2212	2184	2226	2240	2189	2138	2218	2139	2231	2217	2223	2245	2177	2167	2182	2194	2248	2185	2218	2257	2169	2162	2165	2184	2194	2217	2220	2212	2186	2162	2208	2184	2208	2193	2242	2238	2175	2151	2155	2205	2182	2196	2218	2216	2178	2162	2203	2191	2194	2175	2215	2223	2190	2136	2148	2178	2188	2210	2224	2196	2184	2154	2198	2170	2227	2191	2218	2201	2169	2168	2136	2175	2185	2158	2191	2205	2141	2183	2179	2246	2193	2163	2217	2199	2184	2134	2164	2167	2176	2210	2222	2197	2170	2159	2167	2185	2185	2199	2219	2214	2137	2120	2136	2108	2215	2210	2200	2199	2338	2143	2169	2188	2161	2159	2200	2199	2140	2105	2161	2165	2179	2187	2165	2200	2130	2129	2147	2147	2171	2152	2189	2173	2115	2130	2155	2161	2161	
2074	2104	2062	2085	2019	2054	2067	2076	2043	2075	2082	2029	1997	2040	2033	2080	2047	2082	2093	2057	2058	2063	2094	2075	2066	2093	2128	2038	2016	2058	2064	2119	2063	2119	2092	2108	2059	2075	2092	2104	2106	2104	2120	2072	2043	2105	2081	2089	2096	2110	2145	2081	2066	2111	2100	2147	2089	2149	2140	2084	2072	2094	2065	2146	2115	2145	2148	2099	2114	2142	2115	2168	2157	2173	2152	2098	2118	2148	2120	2165	2136	2169	2154	2150	2138	2132	2145	2166	2146	2206	2180	2154	2114	2143	2157	2162	2162	2175	2169	2144	2106	2135	2169	2180	2157	2201	2184	2171	2130	2124	2138	2186	2143	2174	2199	2155	2149	2146	2195	2183	2165	2190	2204	2157	2125	2135	2182	2201	2151	2207	2173	2160	2146	2170	2156	2179	2169	2209	2214	2147	2138	2148	2172	2214	2164	2180	2194	2155	2156	2182	2185	2192	2152	2218	2200	2156	2126	2156	2185	2183	2166	2199	2202	2186	2139	2217	2182	2183	2188	2178	2221	2159	2168	2165	2163	2214	2191	2206	2226	2189	2143	2196	2177	2216	2168	2219	2212	2190	2145	2170	2165	2207	2189	2201	2228	2168	2149	2178	2171	2215	2214	2182	2201	2176	2153	2163	2177	2195	2190	2190	2227	2198	2140	2203	2199	2200	2204	2214	2222	2161	2147	2142	2166	2186	2161	2222	2236	2179	2130	2184	2199	2196	2182	2207	2192	2136	2139	2171	2158	2214	2176	2205	2204	2189	2138	2196	2184	2193	2162	2206	2197	2175	2130	2142	2163	2186	2152	2191	2218	2154	2171	2182	2193	2181	2173	2198	2198	2152	2116	2156	2146	2194	2193	2201	2218	2167	2184	2189	2184	2172	2177	2182	2209	2124	2120	2157	2171	2209	2180	2169	2196	2153	2146	2193	2168	2142	2188	2203	2179	2130	2120	2161	2159	2156	2190	2209	2189	2140	2111	2168	2125	2167	2148	2191	2151	2134	2127	2159	2148	2148	
2078	2085	2065	2082	2028	2071	2074	2069	2096	2096	2102	2058	2012	2074	2042	2096	2089	2086	2122	2076	2065	2072	2114	2099	2082	2106	2167	2039	2038	2055	2074	2117	2077	2116	2112	2093	2056	2109	2101	2117	2102	2126	2131	2079	2028	2081	2135	2123	2094	2096	2135	2118	2051	2112	2094	2136	2121	2139	2161	2090	2082	2116	2085	2156	2112	2146	2141	2111	2121	2167	2150	2148	2137	2159	2149	2128	2098	2164	2123	2172	2170	2178	2164	2128	2132	2132	2165	2165	2139	2195	2218	2145	2109	2174	2163	2169	2173	2194	2183	2168	2127	2157	2205	2193	2161	2223	2233	2143	2123	2155	2149	2187	2158	2204	2226	2175	2168	2150	2201	2190	2146	2208	2193	2121	2126	2182	2175	2198	2168	2218	2197	2173	2165	2189	2159	2185	2192	2198	2214	2168	2153	2198	2154	2217	2172	2193	2194	2172	2173	2160	2172	2177	2172	2191	2187	2178	2144	2153	2163	2197	2179	2204	2210	2194	2156	2190	2180	2203	2185	2176	2219	2207	2181	2164	2168	2235	2178	2239	2183	2236	2184	2192	2212	2197	2206	2241	2229	2168	2141	2198	2155	2210	2284	2226	2216	2181	2170	2202	2184	2189	2180	2220	2236	2167	2164	2175	2168	2247	2215	2219	2215	2196	2180	2209	2202	2193	2199	2209	2231	2173	2151	2190	2182	2198	2177	2209	2219	2178	2173	2191	2170	2192	2182	2211	2186	2176	2131	2146	2169	2197	2166	2227	2205	2184	2158	2204	2262	2205	2190	2210	2194	2157	2172	2146	2181	2206	2169	2204	2202	2155	2171	2170	2198	2191	2290	2195	2204	2193	2143	2161	2184	2208	2190	2223	2203	2164	2151	2175	2190	2192	2200	2203	2209	2143	2119	2164	2147	2205	2173	2204	2195	2174	2103	2169	2181	2190	2191	2221	2175	2155	2127	2149	2159	2179	2191	2183	2180	2129	2125	2152	2146	2161	2162	2170	2179	2124	2139	2146	2137	2137	
2068	2070	2079	2091	2006	2055	2061	2074	2070	2094	2060	2030	2004	2047	2032	2065	2055	2069	2114	2102	2066	2067	2080	2072	2066	2086	2138	2045	2018	2052	2043	2108	2089	2107	2103	2066	2044	2085	2097	2111	2095	2105	2123	2082	2048	2109	2095	2092	2093	2107	2142	2096	2064	2119	2088	2118	2100	2142	2134	2083	2069	2107	2086	2138	2121	2145	2151	2102	2089	2156	2157	2151	2164	2183	2145	2119	2117	2143	2135	2170	2159	2169	2169	2124	2138	2146	2141	2150	2136	2179	2197	2111	2099	2137	2152	2151	2183	2164	2182	2133	2120	2155	2166	2170	2134	2196	2177	2139	2150	2155	2150	2178	2179	2159	2206	2165	2165	2141	2191	2170	2154	2198	2189	2146	2116	2151	2159	2195	2170	2204	2191	2148	2118	2184	2178	2182	2197	2217	2213	2148	2143	2153	2165	2198	2212	2179	2205	2158	2144	2182	2178	2175	2154	2194	2191	2139	2130	2144	2178	2176	2175	2205	2203	2173	2143	2196	2193	2198	2159	2186	2223	2182	2167	2160	2170	2201	2215	2187	2227	2190	2140	2184	2192	2204	2197	2223	2215	2149	2135	2155	2158	2209	2185	2198	2223	2175	2154	2164	2191	2197	2201	2189	2205	2158	2141	2164	2193	2181	2196	2214	2229	2188	2146	2198	2185	2219	2176	2221	2234	2152	2162	2141	2172	2201	2167	2218	2228	2193	2132	2175	2192	2211	2182	2202	2205	2156	2142	2149	2153	2213	2165	2209	2190	2183	2155	2174	2187	2202	2183	2200	2191	2165	2142	2156	2168	2190	2160	2198	2196	2160	2150	2181	2188	2216	2202	2211	2192	2181	2119	2174	2168	2188	2180	2188	2211	2161	2170	2176	2173	2162	2172	2196	2218	2136	2118	2168	2167	2223	2217	2194	2216	2165	2116	2178	2149	2232	2170	2211	2184	2144	2121	2173	2149	2149	2179	2199	2200	2150	2141	2152	2122	2181	2143	2182	2173	2155	2135	2162	2143	2143	
2109	2089	2078	2073	2050	2053	2097	2070	2066	2089	2094	2048	2021	2083	2042	2093	2087	2105	2106	2086	2064	2057	2116	2092	2169	2102	2113	2055	2071	2039	2077	2110	2081	2147	2118	2099	2046	2108	2093	2107	2103	2092	2109	2088	2051	2090	2130	2111	2108	2126	2158	2101	2071	2103	2113	2138	2152	2151	2175	2098	2098	2088	2106	2166	2115	2156	2126	2116	2105	2153	2157	2171	2149	2167	2164	2141	2095	2146	2135	2167	2166	2173	2172	2153	2129	2154	2128	2170	2154	2197	2210	2134	2118	2170	2163	2187	2171	2206	2203	2177	2134	2173	2177	2197	2141	2196	2226	2158	2128	2164	2146	2186	2163	2176	2234	2177	2167	2170	2182	2170	2156	2215	2217	2126	2148	2181	2195	2220	2157	2208	2204	2171	2144	2165	2182	2189	2174	2209	2224	2192	2170	2174	2150	2236	2191	2190	2202	2183	2190	2181	2195	2182	2170	2189	2182	2171	2164	2164	2146	2197	2185	2207	2222	2204	2159	2193	2190	2240	2177	2178	2226	2174	2169	2185	2196	2227	2205	2211	2225	2204	2179	2196	2192	2222	2191	2236	2224	2181	2135	2186	2168	2240	2205	2223	2239	2166	2151	2163	2205	2208	2179	2201	2242	2173	2163	2176	2189	2207	2199	2200	2212	2184	2172	2193	2206	2216	2188	2210	2230	2156	2153	2172	2182	2209	2205	2210	2207	2208	2174	2201	2182	2204	2161	2193	2195	2181	2139	2150	2170	2239	2162	2226	2194	2179	2161	2201	2183	2208	2173	2213	2204	2160	2138	2157	2150	2184	2180	2185	2207	2125	2183	2175	2170	2184	2189	2209	2228	2196	2141	2157	2161	2194	2196	2221	2206	2170	2156	2182	2198	2172	2186	2191	2208	2149	2138	2172	2160	2187	2193	2217	2218	2170	2132	2165	2186	2179	2178	2198	2180	2140	2103	2157	2124	2192	2202	2185	2205	2121	2174	2145	2161	2176	2163	2195	2190	2124	2132	2150	2131	2131	
2050	2076	2071	2101	2024	2045	2070	2054	2064	2114	2089	2021	2003	2047	2033	2068	2040	2072	2090	2073	2063	2051	2100	2056	2086	2088	2123	2035	2017	2039	2067	2104	2070	2122	2102	2073	2052	2076	2106	2099	2122	2103	2119	2087	2033	2105	2115	2115	2107	2123	2150	2108	2077	2116	2107	2143	2077	2127	2128	2076	2083	2082	2076	2132	2109	2143	2134	2113	2091	2121	2140	2152	2129	2175	2157	2126	2101	2141	2116	2177	2136	2166	2162	2133	2130	2149	2146	2149	2126	2173	2181	2110	2113	2120	2156	2174	2156	2185	2185	2149	2123	2165	2175	2158	2147	2198	2192	2154	2137	2157	2157	2170	2149	2183	2228	2135	2150	2140	2172	2176	2165	2179	2200	2165	2131	2150	2170	2208	2159	2210	2195	2155	2158	2168	2165	2195	2180	2213	2223	2118	2128	2140	2158	2213	2170	2182	2194	2168	2137	2176	2184	2184	2171	2219	2199	2155	2135	2158	2187	2181	2183	2194	2212	2156	2136	2188	2173	2187	2185	2186	2205	2192	2131	2164	2146	2229	2207	2200	2230	2179	2131	2223	2239	2200	2184	2227	2204	2171	2115	2154	2166	2217	2167	2228	2207	2200	2140	2177	2183	2199	2209	2205	2213	2161	2175	2148	2169	2197	2178	2191	2241	2190	2143	2189	2195	2220	2182	2231	2222	2137	2142	2150	2214	2224	2182	2206	2220	2182	2103	2176	2214	2198	2183	2196	2219	2145	2140	2148	2171	2197	2186	2212	2202	2165	2157	2181	2193	2209	2179	2204	2217	2164	2122	2156	2165	2183	2143	2205	2256	2137	2170	2170	2197	2187	2173	2195	2188	2171	2123	2160	2159	2200	2173	2187	2211	2160	2166	2178	2181	2181	2190	2215	2219	2117	2138	2164	2156	2207	2184	2190	2197	2176	2125	2177	2152	2165	2171	2224	2188	2145	2130	2165	2143	2167	2194	2190	2200	2139	2120	2154	2124	2147	2158	2162	2173	2141	2145	2159	2181	2181	
2070	2098	2079	2073	2035	2074	2083	2076	2057	2116	2129	2051	1996	2065	2033	2081	2081	2078	2104	2084	2053	2071	2102	2103	2068	2118	2114	2043	2069	2051	2076	2116	2102	2135	2093	2090	2063	2112	2100	2105	2132	2122	2128	2055	2052	2124	2120	2110	2115	2112	2157	2123	2064	2119	2131	2125	2121	2166	2173	2089	2067	2095	2075	2154	2108	2164	2134	2102	2118	2159	2154	2181	2140	2174	2178	2250	2109	2143	2155	2152	2154	2161	2183	2125	2176	2148	2151	2165	2155	2183	2211	2125	2111	2167	2154	2203	2162	2186	2177	2172	2147	2164	2186	2190	2142	2222	2213	2143	2107	2154	2129	2186	2153	2188	2217	2180	2170	2156	2189	2162	2159	2199	2222	2128	2118	2160	2204	2205	2161	2233	2215	2186	2147	2178	2170	2193	2180	2197	2216	2177	2130	2200	2153	2211	2148	2175	2196	2190	2163	2183	2200	2167	2210	2189	2180	2168	2145	2165	2193	2187	2189	2193	2221	2182	2154	2191	2214	2211	2181	2170	2222	2195	2167	2175	2174	2210	2195	2199	2208	2199	2167	2206	2188	2231	2181	2240	2206	2181	2167	2191	2140	2223	2215	2223	2241	2195	2159	2191	2177	2187	2185	2211	2233	2159	2159	2156	2174	2217	2205	2198	2230	2202	2161	2211	2191	2223	2179	2219	2226	2167	2162	2160	2195	2206	2213	2200	2232	2199	2191	2197	2184	2191	2177	2224	2199	2163	2125	2148	2164	2172	2202	2237	2193	2163	2148	2186	2188	2227	2144	2206	2216	2163	2165	2162	2152	2185	2173	2178	2183	2165	2186	2173	2194	2225	2168	2212	2196	2168	2138	2139	2168	2195	2175	2214	2216	2175	2171	2169	2194	2193	2211	2205	2228	2148	2136	2169	2155	2188	2199	2196	2210	2165	2148	2173	2187	2192	2182	2202	2210	2138	2113	2156	2148	2195	2177	2195	2194	2132	2152	2122	2133	2166	2165	2190	2178	2127	2147	2176	2169	2169	
