frame	time	Function 2	units
7751	1601-01-02 05:43:19.484614	4.568643e+03	cnts
7752	1601-01-02 05:43:19.552500	4.568724e+03	cnts
7753	1601-01-02 05:43:19.586443	4.568530e+03	cnts
7754	1601-01-02 05:43:19.552500	4.568724e+03	cnts
7755	1601-01-02 05:43:19.756158	4.568951e+03	cnts
7756	1601-01-02 05:43:19.824044	4.569047e+03	cnts
7757	1601-01-02 05:43:19.857987	4.569200e+03	cnts
7758	1601-01-02 05:43:19.925873	4.569165e+03	cnts
7759	1601-01-02 05:43:19.993759	4.568859e+03	cnts
7760	1601-01-02 05:43:20.095588	4.569834e+03	cnts
7761	1601-01-02 05:43:20.163474	4.569966e+03	cnts
7762	1601-01-02 05:43:20.197417	4.570074e+03	cnts
7763	1601-01-02 05:43:20.265303	4.569836e+03	cnts
7764	1601-01-02 05:43:20.333189	4.569536e+03	cnts
7765	1601-01-02 05:43:20.401075	4.569247e+03	cnts
7766	1601-01-02 05:43:20.435018	4.569345e+03	cnts
7767	1601-01-02 05:43:20.502904	4.569990e+03	cnts
7768	1601-01-02 05:43:20.560346	4.569579e+03	cnts
7769	1601-01-02 05:43:20.604733	4.569480e+03	cnts
7770	1601-01-02 05:43:20.672619	4.569754e+03	cnts
7771	1601-01-02 05:43:20.740505	4.569462e+03	cnts
7772	1601-01-02 05:43:20.808391	4.569865e+03	cnts
7773	1601-01-02 05:43:20.876277	4.570149e+03	cnts
7774	1601-01-02 05:43:20.910220	4.569981e+03	cnts
7775	1601-01-02 05:43:20.978106	4.570240e+03	cnts
7776	1601-01-02 05:43:21.045992	4.569837e+03	cnts
7777	1601-01-02 05:43:21.113878	4.570275e+03	cnts
7778	1601-01-02 05:43:21.181764	4.570446e+03	cnts
7779	1601-01-02 05:43:21.249650	4.570842e+03	cnts
7780	1601-01-02 05:43:21.283593	4.570685e+03	cnts
7781	1601-01-02 05:43:21.351479	4.570909e+03	cnts
7782	1601-01-02 05:43:21.419365	4.570917e+03	cnts
7783	1601-01-02 05:43:21.487251	4.570824e+03	cnts
7784	1601-01-02 05:43:21.555137	4.571233e+03	cnts
7785	1601-01-02 05:43:21.623023	4.571454e+03	cnts
7786	1601-01-02 05:43:21.690909	4.571328e+03	cnts
7787	1601-01-02 05:43:21.724852	4.571023e+03	cnts
7788	1601-01-02 05:43:21.792738	4.571388e+03	cnts
7789	1601-01-02 05:43:21.860624	4.571342e+03	cnts
7790	1601-01-02 05:43:21.928510	4.571432e+03	cnts
7791	1601-01-02 05:43:21.996396	4.571574e+03	cnts
7792	1601-01-02 05:43:22.064282	4.571436e+03	cnts
7793	1601-01-02 05:43:22.132168	4.571011e+03	cnts
7794	1601-01-02 05:43:22.166111	4.570908e+03	cnts
7795	1601-01-02 05:43:22.233997	4.571027e+03	cnts
7796	1601-01-02 05:43:22.301883	4.571811e+03	cnts
7797	1601-01-02 05:43:22.369769	4.571791e+03	cnts
7798	1601-01-02 05:43:22.437655	4.571493e+03	cnts
7799	1601-01-02 05:43:22.505541	4.571491e+03	cnts
7800	1601-01-02 05:43:22.539484	4.571679e+03	cnts
7801	1601-01-02 05:43:22.607370	4.571798e+03	cnts
7802	1601-01-02 05:43:22.675256	4.572154e+03	cnts
7803	1601-01-02 05:43:22.743142	4.572033e+03	cnts
7804	1601-01-02 05:43:22.811028	4.571750e+03	cnts
7805	1601-01-02 05:43:22.878914	4.571599e+03	cnts
7806	1601-01-02 05:43:22.912857	4.571752e+03	cnts
7807	1601-01-02 05:43:23.014686	4.572510e+03	cnts
7808	1601-01-02 05:43:23.048629	4.572419e+03	cnts
7809	1601-01-02 05:43:23.116515	4.572348e+03	cnts
7810	1601-01-02 05:43:23.176568	4.572301e+03	cnts
7811	1601-01-02 05:43:23.252287	4.571738e+03	cnts
7812	1601-01-02 05:43:23.286230	4.571900e+03	cnts
7813	1601-01-02 05:43:23.354116	4.571739e+03	cnts
7814	1601-01-02 05:43:23.422002	4.571203e+03	cnts
7815	1601-01-02 05:43:23.489888	4.570581e+03	cnts
7816	1601-01-02 05:43:23.557774	4.570092e+03	cnts
7817	1601-01-02 05:43:23.591717	4.570021e+03	cnts
7818	1601-01-02 05:43:23.693546	4.570310e+03	cnts
7819	1601-01-02 05:43:23.727489	4.570880e+03	cnts
7820	1601-01-02 05:43:23.761432	4.571229e+03	cnts
7821	1601-01-02 05:43:23.863261	4.571342e+03	cnts
7822	1601-01-02 05:43:23.931147	4.571077e+03	cnts
7823	1601-01-02 05:43:23.999033	4.571103e+03	cnts
7824	1601-01-02 05:43:24.001644	4.571414e+03	cnts
7825	1601-01-02 05:43:24.100862	4.571459e+03	cnts
7826	1601-01-02 05:43:24.168748	4.571276e+03	cnts
7827	1601-01-02 05:43:24.236634	4.571203e+03	cnts
7828	1601-01-02 05:43:24.239245	4.571253e+03	cnts
7829	1601-01-02 05:43:24.372406	4.571064e+03	cnts
7830	1601-01-02 05:43:24.440292	4.571611e+03	cnts
7831	1601-01-02 05:43:24.474235	4.571413e+03	cnts
7832	1601-01-02 05:43:24.542121	4.571555e+03	cnts
7833	1601-01-02 05:43:24.610007	4.571139e+03	cnts
7834	1601-01-02 05:43:24.677893	4.570861e+03	cnts
7835	1601-01-02 05:43:24.745779	4.570665e+03	cnts
7836	1601-01-02 05:43:24.813665	4.570973e+03	cnts
7837	1601-01-02 05:43:24.847608	4.570861e+03	cnts
7838	1601-01-02 05:43:24.915494	4.570599e+03	cnts
