frame	time	Ellipse mean	units
9368	1601-01-02 01:16:29.680006	8.564031e+03	cnts
9369	1601-01-02 01:16:29.747892	8.564214e+03	cnts
9370	1601-01-02 01:16:29.815778	8.564025e+03	cnts
9371	1601-01-02 01:16:29.883664	8.564360e+03	cnts
9372	1601-01-02 01:16:29.951550	8.564603e+03	cnts
9373	1601-01-02 01:16:30.019436	8.565126e+03	cnts
9374	1601-01-02 01:16:30.087322	8.564590e+03	cnts
9375	1601-01-02 01:16:30.121265	8.564583e+03	cnts
9376	1601-01-02 01:16:30.189151	8.565073e+03	cnts
9377	1601-01-02 01:16:30.257037	8.565565e+03	cnts
9378	1601-01-02 01:16:30.324923	8.565852e+03	cnts
9379	1601-01-02 01:16:30.392809	8.565589e+03	cnts
9380	1601-01-02 01:16:30.460695	8.565289e+03	cnts
9381	1601-01-02 01:16:30.528581	8.566252e+03	cnts
9382	1601-01-02 01:16:30.596467	8.566259e+03	cnts
9383	1601-01-02 01:16:30.664353	8.565794e+03	cnts
9384	1601-01-02 01:16:30.698296	8.565492e+03	cnts
9385	1601-01-02 01:16:30.766182	8.565714e+03	cnts
9386	1601-01-02 01:16:30.834068	8.565803e+03	cnts
9387	1601-01-02 01:16:30.901954	8.566008e+03	cnts
9388	1601-01-02 01:16:30.935897	8.566010e+03	cnts
9389	1601-01-02 01:16:31.003783	8.565133e+03	cnts
9390	1601-01-02 01:16:31.071669	8.565128e+03	cnts
9391	1601-01-02 01:16:31.139555	8.566019e+03	cnts
9392	1601-01-02 01:16:31.207441	8.565985e+03	cnts
9393	1601-01-02 01:16:31.241384	8.566245e+03	cnts
9394	1601-01-02 01:16:31.343213	8.565401e+03	cnts
9395	1601-01-02 01:16:31.377156	8.565738e+03	cnts
9396	1601-01-02 01:16:31.445042	8.566555e+03	cnts
9397	1601-01-02 01:16:31.512928	8.566648e+03	cnts
9398	1601-01-02 01:16:31.580814	8.566271e+03	cnts
9399	1601-01-02 01:16:31.648700	8.566134e+03	cnts
9400	1601-01-02 01:16:31.716586	8.566771e+03	cnts
9401	1601-01-02 01:16:31.750529	8.566653e+03	cnts
9402	1601-01-02 01:16:31.818415	8.566576e+03	cnts
9403	1601-01-02 01:16:31.886301	8.566054e+03	cnts
9404	1601-01-02 01:16:31.954187	8.565835e+03	cnts
9405	1601-01-02 01:16:32.022073	8.566319e+03	cnts
9406	1601-01-02 01:16:32.089959	8.566675e+03	cnts
9407	1601-01-02 01:16:32.157845	8.565909e+03	cnts
9408	1601-01-02 01:16:32.191788	8.565668e+03	cnts
9409	1601-01-02 01:16:32.259674	8.566596e+03	cnts
9410	1601-01-02 01:16:32.327560	8.567089e+03	cnts
9411	1601-01-02 01:16:32.395446	8.567182e+03	cnts
9412	1601-01-02 01:16:32.463332	8.566924e+03	cnts
9413	1601-01-02 01:16:32.497275	8.566458e+03	cnts
9414	1601-01-02 01:16:32.599104	8.566695e+03	cnts
9415	1601-01-02 01:16:32.633047	8.566101e+03	cnts
9416	1601-01-02 01:16:32.700933	8.565565e+03	cnts
9417	1601-01-02 01:16:32.768819	8.564621e+03	cnts
9418	1601-01-02 01:16:32.836705	8.563915e+03	cnts
9419	1601-01-02 01:16:32.870648	8.564163e+03	cnts
9420	1601-01-02 01:16:32.938534	8.563980e+03	cnts
9421	1601-01-02 01:16:33.006420	8.563338e+03	cnts
9422	1601-01-02 01:16:33.074306	8.562348e+03	cnts
9423	1601-01-02 01:16:33.142192	8.562316e+03	cnts
9424	1601-01-02 01:16:33.210078	8.562494e+03	cnts
9425	1601-01-02 01:16:33.277964	8.562402e+03	cnts
9426	1601-01-02 01:16:33.311907	8.561983e+03	cnts
9427	1601-01-02 01:16:33.379793	8.561678e+03	cnts
9428	1601-01-02 01:16:33.447679	8.561799e+03	cnts
9429	1601-01-02 01:16:33.515565	8.562504e+03	cnts
9430	1601-01-02 01:16:33.583451	8.562202e+03	cnts
9431	1601-01-02 01:16:33.617394	8.562002e+03	cnts
9432	1601-01-02 01:16:33.685280	8.561604e+03	cnts
9433	1601-01-02 01:16:33.753166	8.562291e+03	cnts
9434	1601-01-02 01:16:33.821052	8.562067e+03	cnts
9435	1601-01-02 01:16:33.888938	8.561907e+03	cnts
9436	1601-01-02 01:16:33.951602	8.561493e+03	cnts
9437	1601-01-02 01:16:33.990767	8.561369e+03	cnts
9438	1601-01-02 01:16:34.058653	8.561762e+03	cnts
9439	1601-01-02 01:16:34.126539	8.561962e+03	cnts
9440	1601-01-02 01:16:34.194425	8.561156e+03	cnts
9441	1601-01-02 01:16:34.262311	8.560471e+03	cnts
